Company,Website,Contact_URL,Email,Phone,Address,Wikipedia
Breakthrough Software,,,,,,https://en.wikipedia.org/wiki/Breakthrough_Software
Brightfin,http://brightfin.com/,http://brightfin.com/,,,,https://en.wikipedia.org/wiki/Brightfin
Brightmail,https://web.archive.org/web/20120118011058/http://www.symantec.com/de/de/messaging-gateway,https://web.archive.org/web/20120118011058/http://www.symantec.com/de/de/feedback/contactus.jsp,,,,https://en.wikipedia.org/wiki/Brightmail
"Britton Lee, Inc.",,,,,,"https://en.wikipedia.org/wiki/Britton_Lee,_Inc."
Bunchball,,,,,,https://en.wikipedia.org/wiki/Bunchball
ByWater Solutions,http://bywatersolutions.com/,,,,,https://en.wikipedia.org/wiki/ByWater_Solutions
C Level Design,http://www.synopsys.com,http://www.synopsys.com/contact-sales.html,,,,https://en.wikipedia.org/wiki/C_Level_Design
California Pacific Computer Company,,,,,,https://en.wikipedia.org/wiki/California_Pacific_Computer_Company
Canto Software,http://www.canto.com/,http://www.canto.com/contact/,,,,https://en.wikipedia.org/wiki/Canto_Software
Cape Clear Software,,,,,,https://en.wikipedia.org/wiki/Cape_Clear_Software
CapLinked,https://www.caplinked.com/,https://www.caplinked.com/company,sales@caplinked.com,(888) 799-6849,"El Segundo, CA 90245",https://en.wikipedia.org/wiki/CapLinked
CARad.com,,,,,,https://en.wikipedia.org/wiki/CARad.com
Carta (software company),https://carta.com,,,,,https://en.wikipedia.org/wiki/Carta_(software_company)
Causata,http://www.causata.com,http://www.causata.com/contact,,,,https://en.wikipedia.org/wiki/Causata
Centric Software,https://www.centricsoftware.com/,https://www.centricsoftware.com/contact/,,+1 408 574 7802,,https://en.wikipedia.org/wiki/Centric_Software
Citrix Online,http://www.citrixonline.com,,,,,https://en.wikipedia.org/wiki/Citrix_Online
Claria Corporation,,,,,,https://en.wikipedia.org/wiki/Claria_Corporation
Clarizen,http://clarizen.com,https://www.planview.com/contact-us/,,800-856-8600,,https://en.wikipedia.org/wiki/Clarizen
ClearSlide,,,,,,https://en.wikipedia.org/wiki/ClearSlide
Clickability,http://www.clickability.com,,,,,https://en.wikipedia.org/wiki/Clickability
Clixtr,,,,,,https://en.wikipedia.org/wiki/Clixtr
Cloudian,http://cloudian.com,http://cloudian.com/company/contact_us/,,+1 650 227 2380,"San Mateo, CA 94402",https://en.wikipedia.org/wiki/Cloudian
Cloudinary,http://cloudinary.com,http://cloudinary.com/contact,,,,https://en.wikipedia.org/wiki/Cloudinary
Clover Network,http://www.clover.com,http://www.clover.com/contact,,,,https://en.wikipedia.org/wiki/Clover_Network
Condusiv Technologies,http://www.condusiv.com,https://condusiv.com/contact/,,(800) 829-6468,"Simi Valley, CA 93065",https://en.wikipedia.org/wiki/Condusiv_Technologies
Connectbeam,http://connectbeam.com/,http://connectbeam.com/contact,,,,https://en.wikipedia.org/wiki/Connectbeam
Cooliris,http://www.cooliris.com,,,,,https://en.wikipedia.org/wiki/Cooliris
Cornerstone OnDemand,https://cornerstoneondemand.com,https://cornerstoneondemand.com/contact-us/,,+1 (888) 365-2763,"Santa Monica, CA 90404",https://en.wikipedia.org/wiki/Cornerstone_OnDemand
Corona Labs Inc.,https://coronalabs.com/,https://coronalabs.com/contact/,info@coronalabs.com,+1 (415) 996 6877,,https://en.wikipedia.org/wiki/Corona_Labs_Inc.
Cosmi Corporation,,,,,,https://en.wikipedia.org/wiki/Cosmi_Corporation
Coverity,http://synopsys.com/software-integrity.html,http://synopsys.com/contact-sales.html,,,,https://en.wikipedia.org/wiki/Coverity
Cribl.io,https://cribl.io/,https://cribl.io/contact/,sales@cribl.io,415-992-6301,": 22 4th Street, Suite 1300, San Francisco, CA 94103",https://en.wikipedia.org/wiki/Cribl.io
Daily Journal Corporation,http://dailyjournal.com/subscribe,http://dailyjournal.com/subscribe/contact,Jeremy_Ellis@dailyjournal.com,213-229-5424,,https://en.wikipedia.org/wiki/Daily_Journal_Corporation
Daintree Networks,http://www.daintree.net/,http://www.daintree.net/contact-us,,,"Mayfield Heights, OH 44124",https://en.wikipedia.org/wiki/Daintree_Networks
Data Domain Corporation,https://www.delltechnologies.com/en-us/data-protection/data-domain-series/data-domain-dd6300-data-backup-appliance.htm#,,,,,https://en.wikipedia.org/wiki/Data_Domain_Corporation
